v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted
,,,,,,,,,,,,,,,,,,,,1,,Flat rate,1,,
1,"Calculate Flight cost when Miles negative, Date invalid and Economy Class",,,,,high,minor,functional,negative,to-be-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculator Button""
","1. ""Flight Cost Calculator Home Page Display.""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""The system should display an error message.""
","1. ""URL""
2. ""-10""
3. ""-1""
4. ""Economy""
5. ""N\/A""
",,,1,,Flat rate,,,no
2,"Calculate Flight cost when Miles negative, Date valid and Economy Class",,,,,high,minor,functional,negative,to-be-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculator Button""
","1. ""Flight Cost Calculator Home Page Display.""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""The system should display an error message.""
","1. ""URL""
2. ""-10""
3. ""5""
4. ""Economy""
5. ""N\/A""
",,,1,,Flat rate,,,no
3,"Calculate Flight cost when Miles negative, Date valid and Economy Class",,,,,high,minor,functional,negative,to-be-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculator Button""
","1. ""Flight Cost Calculator Home Page Display.""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""The system should display an error message.""
","1. ""URL""
2. ""-10""
3. ""20""
4. ""Economy""
5. ""N\/A""
",,,1,,Flat rate,,,no
4,"Calculate Flight cost when Miles negative, Date valid and Economy Class",,,,,high,minor,functional,negative,to-be-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculator Button""
","1. ""Flight Cost Calculator Home Page Display.""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""The system should display an error message.""
","1. ""URL""
2. ""-10""
3. ""50""
4. ""Economy""
5. ""N\/A""
",,,1,,Flat rate,,,no
5,"Calculate Flight cost when Miles negative, Date invalid and Economy Class",,,,,high,minor,functional,negative,to-be-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculator Button""
","1. ""Flight Cost Calculator Home Page Display.""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""The system should display an error message.""
","1. ""URL""
2. ""-10""
3. ""100""
4. ""Economy""
5. ""N\/A""
",,,1,,Flat rate,,,no
6,"Calculate Flight cost when Miles negative, Date invalid and Business Class",,,,,high,minor,functional,negative,to-be-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculator Button""
","1. ""Flight Cost Calculator Home Page Display.""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""The system should display an error message.""
","1. ""URL""
2. ""-10""
3. ""-1""
4. ""Business""
5. ""N\/A""
",,,1,,Flat rate,,,no
7,"Calculate Flight cost when Miles negative, Date valid and Business Class",,,,,high,minor,functional,negative,to-be-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculator Button""
","1. ""Flight Cost Calculator Home Page Display.""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""The system should display an error message.""
","1. ""URL""
2. ""-10""
3. ""5""
4. ""Business""
5. ""N\/A""
",,,1,,Flat rate,,,no
8,"Calculate Flight cost when Miles negative, Date valid and Business Class",,,,,high,minor,functional,negative,to-be-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculator Button""
","1. ""Flight Cost Calculator Home Page Display.""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""The system should display an error message.""
","1. ""URL""
2. ""-10""
3. ""20""
4. ""Business""
5. ""N\/A""
",,,1,,Flat rate,,,no
9,"Calculate Flight cost when Miles negative, Date valid and Business Class",,,,,high,minor,functional,negative,to-be-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculator Button""
","1. ""Flight Cost Calculator Home Page Display.""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""The system should display an error message.""
","1. ""URL""
2. ""-10""
3. ""50""
4. ""Business""
5. ""N\/A""
",,,1,,Flat rate,,,no
